date;spv;temp
2022-01-01 00:00:00;0;9.2
2022-01-01 01:00:00;0;8.9
2022-01-01 02:00:00;0;8.8
2022-01-01 03:00:00;0;8.6
2022-01-01 04:00:00;0;8.1
2022-01-01 05:00:00;0;7.7
2022-01-01 06:00:00;0;7.5
2022-01-01 07:00:00;0;7.2
2022-01-01 08:00:00;82.54183688;7.2
2022-01-01 09:00:00;2110.669483;8.5
2022-01-01 10:00:00;4284.743995;11.1
2022-01-01 11:00:00;5532.210278;13.8
2022-01-01 12:00:00;6151.198641;15.9
2022-01-01 13:00:00;6394.96672;17.2
2022-01-01 14:00:00;6119.187163;17.8
2022-01-01 15:00:00;5279.069341;17.8
2022-01-01 16:00:00;3747.154229;17
2022-01-01 17:00:00;982.455905;15.4
2022-01-01 18:00:00;8.768188423;13.8
2022-01-01 19:00:00;0;12.3
2022-01-01 20:00:00;0;11
2022-01-01 21:00:00;0;10.1
2022-01-01 22:00:00;0;9.7
2022-01-01 23:00:00;0;9.2
2022-01-02 00:00:00;0;8.3
2022-01-02 01:00:00;0;8
2022-01-02 02:00:00;0;7.7
2022-01-02 03:00:00;0;7.4
2022-01-02 04:00:00;0;7.1
2022-01-02 05:00:00;0;6.8
2022-01-02 06:00:00;0;6.7
2022-01-02 07:00:00;0;6.7
2022-01-02 08:00:00;85.75931628;6.8
2022-01-02 09:00:00;1861.118663;8
2022-01-02 10:00:00;3496.084987;10.4
2022-01-02 11:00:00;4680.106322;12.8
2022-01-02 12:00:00;5479.009506;14.6
2022-01-02 13:00:00;5552.09442;15.6
2022-01-02 14:00:00;5366.79308;15.9
2022-01-02 15:00:00;4702.659967;15.8
2022-01-02 16:00:00;3378.849299;14.9
2022-01-02 17:00:00;946.9217677;13.1
2022-01-02 18:00:00;8.779553218;11.9
2022-01-02 19:00:00;0;11.4
2022-01-02 20:00:00;0;10.6
2022-01-02 21:00:00;0;9.5
2022-01-02 22:00:00;0;8.7
2022-01-02 23:00:00;0;8.2
2022-01-03 00:00:00;0;7.4
2022-01-03 01:00:00;0;7.1
2022-01-03 02:00:00;0;6.9
2022-01-03 03:00:00;0;6.9
2022-01-03 04:00:00;0;6.7
2022-01-03 05:00:00;0;6.5
2022-01-03 06:00:00;0;6.3
2022-01-03 07:00:00;0;6.2
2022-01-03 08:00:00;78.10579557;6.4
2022-01-03 09:00:00;1983.639279;7.6
2022-01-03 10:00:00;4105.024827;10
2022-01-03 11:00:00;5415.26544;12.4
2022-01-03 12:00:00;5991.911636;14.2
2022-01-03 13:00:00;6148.557355;15.3
2022-01-03 14:00:00;5885.689092;15.9
2022-01-03 15:00:00;5114.693307;15.9
